Region,Year,Unnamed: 0,Healthy (NCDRisC (2017)),Overweight or Obese (NCDRisC (2017)),Underweight (NCDRisC (2017))
Africa,2000,3841.521739130435,59.810869565217395,28.589130434782607,11.610869565217392
Africa,2001,3842.521739130435,59.30434782608695,29.210869565217394,11.482608695652175
Africa,2002,3843.521739130435,58.78478260869565,29.856521739130436,11.36304347826087
Africa,2003,3844.521739130435,58.27173913043478,30.506521739130434,11.221739130434784
Africa,2004,3845.521739130435,57.73478260869565,31.17391304347826,11.089130434782609
Africa,2005,3846.521739130435,57.19347826086957,31.849999999999998,10.956521739130435
Africa,2006,3847.521739130435,56.63913043478261,32.54347826086956,10.810869565217391
Africa,2007,3848.521739130435,56.07826086956521,33.24130434782609,10.680434782608696
Africa,2008,3849.521739130435,55.49565217391305,33.95434782608696,10.541304347826086
Africa,2009,3850.521739130435,54.92391304347826,34.67173913043479,10.404347826086957
Africa,2010,3851.521739130435,54.34130434782608,35.39565217391304,10.265217391304347
Africa,2011,3852.521739130435,53.73913043478261,36.130434782608695,10.136956521739132
Africa,2012,3853.521739130435,53.13695652173914,36.87391304347826,9.997826086956522
Africa,2013,3854.521739130435,52.52608695652174,37.608695652173914,9.858695652173912
Africa,2014,3855.521739130435,51.90652173913043,38.35217391304348,9.730434782608697
Caribbean,2000,3110.0,42.075,52.3125,5.6125
Caribbean,2001,3111.0,41.5,53.05,5.4625
Caribbean,2002,3112.0,40.9375,53.775,5.3
Caribbean,2003,3113.0,40.3375,54.4875,5.15
Caribbean,2004,3114.0,39.7875,55.2125,5.025
Caribbean,2005,3115.0,39.2125,55.912499999999994,4.8500000000000005
Caribbean,2006,3116.0,38.65,56.6375,4.7125
Caribbean,2007,3117.0,38.075,57.3625,4.5625
Caribbean,2008,3118.0,37.5375,58.0375,4.4375
Caribbean,2009,3119.0,37.025,58.6625,4.325
Caribbean,2010,3120.0,36.525,59.2625,4.2
Caribbean,2011,3121.0,36.05,59.8625,4.1125
Caribbean,2012,3122.0,35.5875,60.4125,4.0125
Caribbean,2013,3123.0,35.1125,61.0,3.9000000000000004
Caribbean,2014,3124.0,34.65,61.55,3.8249999999999997
Central America,2000,3059.285714285714,46.0,50.199999999999996,3.8000000000000003
Central America,2001,3060.285714285714,45.4,50.91428571428571,3.6999999999999997
Central America,2002,3061.285714285714,44.81428571428571,51.614285714285714,3.5714285714285716
Central America,2003,3062.285714285714,44.228571428571435,52.285714285714285,3.4857142857142853
Central America,2004,3063.285714285714,43.67142857142857,52.971428571428575,3.3714285714285714
Central America,2005,3064.285714285714,43.07142857142857,53.642857142857146,3.2857142857142856
Central America,2006,3065.285714285714,42.5,54.31428571428571,3.185714285714286
Central America,2007,3066.285714285714,41.92857142857143,54.98571428571428,3.1
Central America,2008,3067.285714285714,41.31428571428571,55.65714285714286,3.0142857142857147
Central America,2009,3068.285714285714,40.800000000000004,56.24285714285714,2.9285714285714284
Central America,2010,3069.285714285714,40.271428571428565,56.871428571428574,2.8714285714285714
Central America,2011,3070.285714285714,39.714285714285715,57.48571428571428,2.7857142857142856
Central America,2012,3071.285714285714,39.199999999999996,58.08571428571428,2.7285714285714286
Central America,2013,3072.285714285714,38.642857142857146,58.699999999999996,2.6714285714285713
Central America,2014,3073.285714285714,38.142857142857146,59.25714285714286,2.6
Central Asia,2000,5953.0,53.46,41.059999999999995,5.4799999999999995
Central Asia,2001,5954.0,53.06,41.559999999999995,5.38
Central Asia,2002,5955.0,52.58,42.12,5.26
Central Asia,2003,5956.0,52.06,42.760000000000005,5.16
Central Asia,2004,5957.0,51.52,43.46,5.0200000000000005
Central Asia,2005,5958.0,50.980000000000004,44.160000000000004,4.88
Central Asia,2006,5959.0,50.38,44.88,4.779999999999999
Central Asia,2007,5960.0,49.760000000000005,45.64,4.6
Central Asia,2008,5961.0,49.14,46.4,4.4799999999999995
Central Asia,2009,5962.0,48.519999999999996,47.14,4.34
Central Asia,2010,5963.0,47.92,47.88,4.220000000000001
Central Asia,2011,5964.0,47.260000000000005,48.660000000000004,4.08
Central Asia,2012,5965.0,46.660000000000004,49.38,3.9799999999999995
Central Asia,2013,5966.0,46.04,50.12,3.8600000000000003
Central Asia,2014,5967.0,45.44,50.86,3.7399999999999998
Eastern Asia,2000,4353.0,66.78,24.92,8.28
Eastern Asia,2001,4354.0,66.6,25.18,8.18
Eastern Asia,2002,4355.0,66.4,25.48,8.14
Eastern Asia,2003,4356.0,66.2,25.78,8.040000000000001
Eastern Asia,2004,4357.0,65.94,26.080000000000002,7.959999999999999
Eastern Asia,2005,4358.0,65.7,26.440000000000005,7.840000000000001
Eastern Asia,2006,4359.0,65.42,26.82,7.76
Eastern Asia,2007,4360.0,65.08,27.26,7.659999999999999
Eastern Asia,2008,4361.0,64.72,27.72,7.58
Eastern Asia,2009,4362.0,64.34,28.160000000000004,7.4799999999999995
Eastern Asia,2010,4363.0,63.94,28.639999999999997,7.4
Eastern Asia,2011,4364.0,63.56,29.119999999999997,7.3
Eastern Asia,2012,4365.0,63.17999999999999,29.580000000000002,7.24
Eastern Asia,2013,4366.0,62.739999999999995,30.1,7.159999999999999
Eastern Asia,2014,4367.0,62.32000000000001,30.560000000000002,7.08
Europe,2000,4186.333333333333,51.1,46.223333333333336,2.6766666666666667
Europe,2001,4187.333333333333,50.733333333333334,46.626666666666665,2.6533333333333333
Europe,2002,4188.333333333333,50.36333333333334,47.03,2.6
Europe,2003,4189.333333333333,50.0,47.42333333333333,2.5766666666666667
Europe,2004,4190.333333333333,49.64666666666667,47.82,2.533333333333333
Europe,2005,4191.333333333333,49.29666666666667,48.19666666666667,2.49
Europe,2006,4192.333333333333,48.95,48.59666666666667,2.453333333333333
Europe,2007,4193.333333333333,48.586666666666666,48.980000000000004,2.42
Europe,2008,4194.333333333333,48.269999999999996,49.343333333333334,2.393333333333333
Europe,2009,4195.333333333333,48.00666666666667,49.626666666666665,2.353333333333333
Europe,2010,4196.333333333333,47.74666666666667,49.90333333333333,2.3400000000000003
Europe,2011,4197.333333333333,47.47666666666667,50.19666666666667,2.3233333333333333
Europe,2012,4198.333333333333,47.22666666666667,50.46333333333334,2.2933333333333334
Europe,2013,4199.333333333333,47.0,50.71,2.2800000000000002
Europe,2014,4200.333333333333,46.769999999999996,50.96,2.2766666666666664
Northern America,2000,4505.0,44.15,53.7,2.15
Northern America,2001,4506.0,43.55,54.4,2.05
Northern America,2002,4507.0,42.95,55.1,2.05
Northern America,2003,4508.0,42.35,55.7,1.9500000000000002
Northern America,2004,4509.0,41.75,56.3,1.9500000000000002
Northern America,2005,4510.0,41.15,56.9,1.9
Northern America,2006,4511.0,40.65,57.5,1.85
Northern America,2007,4512.0,40.15,58.1,1.8
Northern America,2008,4513.0,39.65,58.6,1.75
Northern America,2009,4514.0,39.2,59.1,1.75
Northern America,2010,4515.0,38.75,59.55,1.75
Northern America,2011,4516.0,38.3,60.0,1.7
Northern America,2012,4517.0,37.85,60.5,1.65
Northern America,2013,4518.0,37.400000000000006,60.95,1.65
Northern America,2014,4519.0,36.95,61.4,1.65
Oceania,2000,4638.333333333333,45.51666666666667,51.06666666666666,3.4
Oceania,2001,4639.333333333333,44.96666666666667,51.71666666666667,3.3000000000000003
Oceania,2002,4640.333333333333,44.416666666666664,52.31666666666666,3.233333333333333
Oceania,2003,4641.333333333333,43.88333333333333,52.949999999999996,3.1500000000000004
Oceania,2004,4642.333333333333,43.36666666666667,53.56666666666666,3.0666666666666664
Oceania,2005,4643.333333333333,42.81666666666666,54.15,3.0
Oceania,2006,4644.333333333333,42.300000000000004,54.76666666666667,2.9166666666666665
Oceania,2007,4645.333333333333,41.766666666666666,55.38333333333333,2.866666666666667
Oceania,2008,4646.333333333333,41.233333333333334,56.01666666666667,2.75
Oceania,2009,4647.333333333333,40.699999999999996,56.599999999999994,2.6999999999999997
Oceania,2010,4648.333333333333,40.166666666666664,57.199999999999996,2.6333333333333333
Oceania,2011,4649.333333333333,39.61666666666667,57.78333333333333,2.566666666666667
Oceania,2012,4650.333333333333,39.083333333333336,58.416666666666664,2.5
Oceania,2013,4651.333333333333,38.56666666666667,59.0,2.4499999999999997
Oceania,2014,4652.333333333333,38.016666666666666,59.6,2.3666666666666667
South America,2000,3675.0,45.56666666666666,51.324999999999996,3.125
South America,2001,3676.0,45.125,51.85,3.033333333333333
South America,2002,3677.0,44.699999999999996,52.375,2.9499999999999997
