Year,Gender,Obesity_Rate
2000,Female,16.7
2000,Male,10.2
2001,Female,17.1
2001,Male,10.5
2002,Female,17.4
2002,Male,10.8
2003,Female,17.8
2003,Male,11.2
2004,Female,18.2
2004,Male,11.5
2005,Female,18.6
2005,Male,11.9
2006,Female,19.0
2006,Male,12.2
2007,Female,19.4
2007,Male,12.6
2008,Female,19.8
2008,Male,13.0
2009,Female,20.2
2009,Male,13.4
2010,Female,20.6
2010,Male,13.8
2011,Female,21.0
2011,Male,14.2
2012,Female,21.4
2012,Male,14.6
2013,Female,21.9
2013,Male,15.0
2014,Female,22.3
2014,Male,15.4
2015,Female,22.7
2015,Male,15.9
2016,Female,23.2
2016,Male,16.3
