Region,Year,Healthy (NCDRisC (2017)),Overweight or Obese (NCDRisC (2017)),Underweight (NCDRisC (2017))
Africa,2000,69.2,16.0,14.9
Africa,2001,69.0,16.3,14.7
Africa,2002,68.8,16.6,14.5
Africa,2003,68.7,17.0,14.4
Africa,2004,68.5,17.3,14.2
Africa,2005,68.3,17.7,14.0
Africa,2006,68.1,18.1,13.8
Africa,2007,67.9,18.5,13.6
Africa,2008,67.6,19.0,13.4
Africa,2009,67.4,19.4,13.2
Africa,2010,67.1,19.9,13.0
Africa,2011,66.9,20.3,12.8
Africa,2012,66.6,20.8,12.6
Africa,2013,66.3,21.3,12.4
Africa,2014,65.9,21.8,12.2
All Countries,2000,50.66153846153846,43.88461538461539,5.507692307692308
All Countries,2001,50.20384615384616,44.45769230769231,5.384615384615384
All Countries,2002,49.738461538461536,44.99230769230769,5.26923076923077
All Countries,2003,49.269230769230774,45.58461538461539,5.161538461538461
All Countries,2004,48.84615384615385,46.169230769230765,5.038461538461538
All Countries,2005,48.36153846153846,46.784615384615385,4.915384615384615
All Countries,2006,47.80769230769231,47.38846153846154,4.803846153846154
All Countries,2007,47.30384615384615,48.019230769230774,4.676923076923077
All Countries,2008,46.78846153846154,48.64615384615385,4.55
All Countries,2009,46.28846153846154,49.26538461538462,4.438461538461539
All Countries,2010,45.78076923076924,49.892307692307696,4.326923076923077
All Countries,2011,45.27692307692308,50.51538461538462,4.211538461538462
All Countries,2012,44.76538461538462,51.09615384615385,4.15
All Countries,2013,44.246153846153845,51.715384615384615,4.0346153846153845
All Countries,2014,43.719230769230776,52.353846153846156,3.926923076923077
Caribbean,2000,54.7,38.9,6.4
Caribbean,2001,54.1,39.7,6.2
Caribbean,2002,53.5,40.5,6.0
Caribbean,2003,52.9,41.4,5.8
Caribbean,2004,52.2,42.2,5.5
Caribbean,2005,51.6,43.1,5.3
Caribbean,2006,50.9,44.0,5.1
Caribbean,2007,50.2,44.9,4.9
Caribbean,2008,49.5,45.8,4.7
Caribbean,2009,48.8,46.6,4.5
Caribbean,2010,48.2,47.5,4.4
Caribbean,2011,47.5,48.3,4.2
Caribbean,2012,46.8,49.2,4.0
Caribbean,2013,46.1,50.0,3.8
Caribbean,2014,45.4,50.9,3.7
Central America,2000,55.3,40.4,4.3
Central America,2001,54.7,41.1,4.1
Central America,2002,54.1,41.9,4.0
Central America,2003,53.5,42.7,3.8
Central America,2004,53.0,43.4,3.7
Central America,2005,52.4,44.1,3.5
Central America,2006,51.7,44.9,3.4
Central America,2007,51.1,45.7,3.2
Central America,2008,50.5,46.4,3.1
Central America,2009,49.8,47.2,3.0
Central America,2010,49.2,47.9,2.9
Central America,2011,48.6,48.6,2.8
Central America,2012,48.0,49.4,2.7
Central America,2013,47.3,50.1,2.6
Central America,2014,46.7,50.8,2.5
Central Asia,2000,58.0,38.7,3.4
Central Asia,2001,57.7,39.1,3.3
Central Asia,2002,57.4,39.4,3.2
Central Asia,2003,57.0,40.0,3.1
Central Asia,2004,56.5,40.5,3.0
Central Asia,2005,55.9,41.2,2.9
Central Asia,2006,55.3,41.9,2.8
Central Asia,2007,54.7,42.7,2.6
Central Asia,2008,53.9,43.5,2.5
Central Asia,2009,53.2,44.4,2.4
Central Asia,2010,52.4,45.2,2.3
Central Asia,2011,51.6,46.1,2.2
Central Asia,2012,50.9,47.0,2.1
Central Asia,2013,50.1,47.9,2.0
Central Asia,2014,49.3,48.8,2.0
Eastern Asia,2000,68.4,25.1,6.5
Eastern Asia,2001,68.0,25.6,6.3
Eastern Asia,2002,67.7,26.1,6.2
Eastern Asia,2003,67.3,26.7,6.1
Eastern Asia,2004,66.8,27.3,5.9
Eastern Asia,2005,66.4,27.9,5.7
Eastern Asia,2006,65.9,28.5,5.6
Eastern Asia,2007,65.3,29.3,5.4
Eastern Asia,2008,64.7,30.0,5.2
Eastern Asia,2009,64.1,30.8,5.1
Eastern Asia,2010,63.5,31.6,4.9
Eastern Asia,2011,62.8,32.4,4.8
